article_id,source_name,title,event,bias,country,adfontes_bias,mentions_gw
286684,NPR,A tiny deer and rising seas: How far should people go to save an endangered species?,cyclone,left-center,us,Middle,True
293651,The Times of India,Storm Debi: Weather warnings are in force across the UK,cyclone,right-center,in,Middle,True
307011,Phys.Org,"Desperate for water, a desert city hopes to build a pipeline to the California Aqueduct",cyclone,pro-science,gb,Middle,True
81717,BBC News,Malawi heatwave warning issued as temperatures set to soar,cyclone,left-center,gb,Middle,True
82504,BBC News,'Extremely dangerous' Hurricane Lidia heads towards Mexico's Pacific coast,cyclone,left-center,gb,Middle,True
82573,ABC News,Eye of Hurricane Otis makes landfall near Mexico's Acapulco as Category 5 storm,cyclone,left-center,us,Middle,True
82599,Phys.Org,'Extremely dangerous' Hurricane Lidia heads for Mexico,cyclone,pro-science,gb,Middle,True
82613,Phys.Org,"Headed for Mexico, Hurricane Norma strengthens to Category 4",cyclone,pro-science,gb,Middle,True
82616,Phys.Org,'Potentially catastrophic' Hurricane Otis hits Mexico,cyclone,pro-science,gb,Middle,True
82640,Phys.Org,Hurricane Otis weakens after making landfall in Mexico,cyclone,pro-science,gb,Middle,True
82642,Phys.Org,Why did Hurricane Otis 'explosively' intensify off Mexico?,cyclone,pro-science,gb,Middle,True
82714,Phys.Org,"Lidia leaves at least one dead in Mexico, weakens to storm",cyclone,pro-science,gb,Middle,True
82750,Phys.Org,Turbocharged Otis caught forecasters and Mexico off-guard. Scientists aren't sure why,cyclone,pro-science,gb,Middle,True
82802,Phys.Org,"Extreme weather is outpacing even the worst-case scenarios of our forecasting models, says researcher",cyclone,pro-science,gb,Middle,True
82883,Phys.Org,"Hurricane causes 27 deaths, severe damage in Mexico's Acapulco",cyclone,pro-science,gb,Middle,True
85089,Forbes,"43M Children Displaced By Floods, Storms, Droughts, Wildfires Since 2016",cyclone,right-center,us,Middle,True
327375,NPR,The UN's Guterres calls for an 'ambition supernova' as climate progress stays slow,cyclone,left-center,us,Middle,True
327377,BBC News,AI could predict hurricane landfall sooner - report,cyclone,left-center,gb,Middle,True
327379,NPR,"Climate change affects your life in 3 big ways, a new report warns",cyclone,left-center,us,Middle,True
327386,ABC News,Why climate change is worsening in every part of the US: Report,cyclone,left-center,us,Middle,True
327441,BBC News,Coal tips in Wales: New maps reveal 350 sites most at risk,cyclone,left-center,gb,Middle,True
342003,Phys.Org,Researcher: This is the hottest autumn on record—and it's impacting the climate system and human society,cyclone,pro-science,gb,Middle,True
363340,Phys.Org,"Georgia, Southeast among the most at-risk from climate change, report finds",cyclone,pro-science,gb,Middle,True
363375,International Business Times,Heat Projected To Kill Nearly Five Times More People By 2050,cyclone,left-center,us,Middle,True
370601,BBC News,England's flood defence plans reduced 'due to inflation',cyclone,left-center,gb,Middle,True
371955,ABC News,Heat-related deaths for older adults could increase by 370% through mid-century if climate warms 2 degrees Celsius,cyclone,left-center,us,Middle,True
387589,The Times of India,View: The last thing the game of cricket needs is Saudi money,cyclone,right-center,in,Middle,True
387695,Phys.Org,Pastoralists have raised livestock in harsh climates for millennia. What can they teach us today?,cyclone,pro-science,gb,Middle,True
420799,Phys.Org,Let coastlines be coastlines: How nature-based approaches can protect Canada's coasts,cyclone,pro-science,gb,Middle,True
421143,Phys.Org,Study highlights need for enhanced tropical cyclone identification and simulation in climate models,cyclone,pro-science,gb,Middle,True
420817,Business Insider,The key to fighting the urban doom loop might be a downtown beach,cyclone,left-center,us,Middle,True
470013,Phys.Org,Threat from sand and dust storms spreading: UN,cyclone,pro-science,gb,Middle,True
474097,NPR,"A disappearing island: 'The water is destroying us, one house at a time'",cyclone,left-center,us,Middle,True
490982,The Times of India,"Two killed as stormy winds lash Bulgaria, Romania",cyclone,right-center,in,Middle,True
87189,Wired,Hydro Dams Are Struggling to Handle the World’s Intensifying Weather,cyclone,left-center,us,Skews Left,True
89293,Phys.Org,Factory fishing in Antarctica for krill targets the cornerstone of a fragile ecosystem,cyclone,pro-science,gb,Middle,True
511594,Phys.Org,Women are leading the fight to stop climate change,cyclone,pro-science,gb,Middle,True
513698,Al Jazeera English,Torrential rains kill at least 21 in Dominican Republic,cyclone,left-center,us,Skews Left,True
516505,Phys.Org,Global one-day temperature spikes above 2C for first time: EU monitor,cyclone,pro-science,gb,Middle,True
516507,Phys.Org,At least 21 dead in torrential Dominican Republic rains,cyclone,pro-science,gb,Middle,True
516570,Al Jazeera English,Turkey searches Black Sea for lost sailors following deadly storms,cyclone,left-center,us,Skews Left,True
516627,International Business Times,Global One-day Temperature Spikes Above 2C For First Time: EU Monitor,cyclone,left-center,us,Middle,True
516783,The Punch,"Floods displaced 650,000 Nigerian children in six years – UNICEF",cyclone,left-center,ng,,True
583489,Gizmodo.com,Why ‘Climate Havens’ Could Be Closer to Home Than You’d Think,cyclone,left,us,Skews Left,True
584314,GlobeNewswire,"Burlington Stores, Inc. Reports Third Quarter 2023 Earnings",cyclone,least biased,us,,True
619680,BBC News,Climate change: Rise in Google searches around ‘anxiety’,cyclone,left-center,gb,Middle,True
622038,Al Jazeera English,"10 years after Haiyan, are mangroves protecting Philippine coastal areas?",cyclone,left-center,us,Skews Left,True
622909,The Times of India,Fund to compensate developing nations for climate change is unfinished business at Cop28,cyclone,right-center,in,Middle,True
625288,Al Jazeera English,"Hit by floods and fires, a Greek village has lost hope",cyclone,left-center,us,Skews Left,True
644386,Phys.Org,Study shows tropical cyclones substantially raise the social cost of carbon,cyclone,pro-science,gb,Middle,True
674016,ABC News,"Sea turtle nests break records on US beaches, but global warming threatens survival",cyclone,left-center,us,Middle,True
689593,International Business Times,"Heat, Disease, Air Pollution: How Climate Change Impacts Health",cyclone,left-center,us,Middle,True
754699,Al Jazeera English,What is Africa’s goal at COP28 as the climate summit begins?,cyclone,left-center,us,Skews Left,True
754710,NPR,3 climate impacts the U.S. will see if warming goes beyond 1.5 degrees,cyclone,left-center,us,Middle,True
90234,The Indian Express,"Cyclone Hamoon to develop in Bay of Bengal today, storm headed towards Bangladesh",cyclone,left-center,in,Middle,False
90256,The Indian Express,No respite from rising AQI levels even as Cyclone Tej develops,cyclone,left-center,in,Middle,False
90458,The Times of India,Cyclone Tej to intensify into 'severe cyclonic storm' before noon today: IMD,cyclone,right-center,in,Middle,False
90545,The Punch,Gulf states pledge $100m in ‘urgent’ aid for Gaza,cyclone,left-center,ng,,False
90584,The Times of India,Cyclone 'Tej' expected to make landfall between Yemen and Oman on October 25,cyclone,right-center,in,Middle,False
91176,Forbes,Enlist New Nuclear Reactor Tech And DHS FEMA To Project Power Ashore,cyclone,right-center,us,Middle,False
93212,Phys.Org,"Hurricanes are now twice as likely to zip from minor to whopper than decades ago, study says",cyclone,pro-science,gb,Middle,False
93287,Phys.Org,Report: The US just had its seventh-warmest September on record,cyclone,pro-science,gb,Middle,False
94196,BBC News,Damage and disruption: Storm Ciarán in pictures,cyclone,left-center,gb,Middle,False
94424,NPR,"When disaster strikes, these good boys and girls are your rescue crew",cyclone,left-center,us,Middle,False
95525,Phys.Org,A monster eddy current is spinning into existence off the coast of Sydney—will it bring a new marine heat wave?,cyclone,pro-science,gb,Middle,False
98172,CNA,Dutch 'headwind cycle race' blown away by storm,cyclone,least biased,sg,Middle,False
99116,Marketscreener.com,Assurant : Q3 for Q3 2023 Financial Earnings Transcript 2023,cyclone,least biased,fr,,False
99123,Marketscreener.com,Assurant : Q3 2023 Earnings Transcript,cyclone,least biased,fr,,False
99137,Marketscreener.com,Heritage Reports Third Quarter 2023 Results,cyclone,least biased,fr,,False
100903,Marketscreener.com,Granite Continues Airfield Safety Enhancement Program at Tucson International Airport,cyclone,least biased,fr,,False
104902,NPR,Chronic drug shortages stress hospitals and patients,cyclone,left-center,us,Middle,False
104944,BBC News,"Devon: Storm Ciarán causes floods, power outages and shuts schools",cyclone,left-center,gb,Middle,False
105070,BBC News,Storm Ciarán causes rail disruption across Scotland,cyclone,left-center,gb,Middle,False
105216,Marketscreener.com,PPL Corporation reports third-quarter 2023 earnings,cyclone,least biased,fr,,False
105234,Marketscreener.com,Exelon Reports Third Quarter 2023 Results,cyclone,least biased,fr,,False
105279,Marketscreener.com,Southern Company reports third-quarter 2023 earnings,cyclone,least biased,fr,,False
105289,Marketscreener.com,IsoEnergy : 3rd Quarter Management's Discussion and Analysis 2023,cyclone,least biased,fr,,False
105307,GlobeNewswire,Targa Resources Corp. Reports Third Quarter 2023 Financial Results and Announces Expectations for a 50% Year-Over-Year Increase to 2024 Common Dividend,cyclone,least biased,us,,False
735,NPR,This expert on water scarcity would never call herself a 'genius.' But MacArthur would,cyclone,left-center,us,Middle,False
1788,Al Jazeera English,Russia pursues Avdiivka with ‘meat assaults’ in a replay of Bakhmut,cyclone,left-center,us,Skews Left,False
1912,ABC News,Early morning storms leave path of damage from Tampa Bay into north Florida,cyclone,left-center,us,Middle,False
2165,Phys.Org,Tornadoes in the UK are surprisingly common and no one knows why,cyclone,pro-science,gb,Middle,False
6797,Business Insider,How 1880s technology made it possible for 2 women to travel around the world in under 80 days,cyclone,left-center,us,Middle,False
7275,Phys.Org,Four dead as Tropical Storm Pilar dumps heavy rains on C. America,cyclone,pro-science,gb,Middle,False
11973,ABC News,Evacuations ordered as remnants of Typhoon Koinu hit southern China,cyclone,left-center,us,Middle,False
11993,ABC News,Hong Kong cancels scores of flights as Tropical Storm Koinu draws nearer,cyclone,left-center,us,Middle,False
12504,Business Insider,"Sunny days for the US economy could end abruptly if these 2 'storm clouds' hit, JPMorgan's Jamie Dimon warns",cyclone,left-center,us,Middle,False
12587,Business Insider,"Russia tried to field an elite series of 'storm' units but ended up stuffing them with convicts instead, UK intel says",cyclone,left-center,us,Middle,False
12642,Business Insider,"Russian soldiers who drink and break rules get sent to punishment battalions where they are likely to die fighting, report says",cyclone,left-center,us,Middle,False
12671,Business Insider,"Russia is promising prisoners a $31,000 payout if they get injured, soldier says. It's likelier than they realize.",cyclone,left-center,us,Middle,False
14115,ABC News,Tropical Storm Philippe chugs toward Bermuda on a path to Atlantic Canada and New England,cyclone,left-center,us,Middle,False
14120,ABC News,Tropical Storm Philippe drenches Bermuda en route to Atlantic Canada and New England,cyclone,left-center,us,Middle,False
14529,Marketscreener.com,New Zealand's Tower raises annual profit forecast on lower cyclone allowance,cyclone,least biased,fr,,False
15251,The Times of India,Cyclone 'Tej' intensifies into extremely severe cyclonic storm,cyclone,right-center,in,Middle,False
15645,Phys.Org,Study shows live plant pathogens can travel on dust across oceans,cyclone,pro-science,gb,Middle,False
16875,Time,Thousands of U.S. Workers Are on Strike. Here’s a Rundown of Major Work Stoppages,cyclone,left-center,us,Skews Left,False
16998,Al Jazeera English,Is Russia recruiting Muslim migrants to fight its war in Ukraine?,cyclone,left-center,us,Skews Left,False
18161,Boing Boing,Incredibly bizarre video of forest floor lifting off the ground like a rug,cyclone,left,us,Strong Left,False
19528,The Verge,Google Search can now help verify an image’s origins,cyclone,left-center,us,Middle,False
19748,Boing Boing,Astonishing image of Jupiter reveals never-before-seen wild weather phenomenon,cyclone,left,us,Strong Left,False
19930,Phys.Org,Royal Charter storm of 1859: How an almighty tempest led to the birth of the UK's shipping forecast,cyclone,pro-science,gb,Middle,False
19967,Business Insider,I moved from California to Texas and had to take a train to visit for the first time because I couldn't afford a flight. Now I own a home.,cyclone,left-center,us,Middle,False
20053,Forbes,Family Entertainment Centers: Tips For Generating Profits In Any Weather,cyclone,right-center,us,Middle,False
20110,ABC News,"'Miracle' water year in California: Rain, snow put reservoirs at 128% of average",cyclone,left-center,us,Middle,False
20133,Phys.Org,Storm Babet caused dangerous floods as the 'dry side' of Scotland isn't used to such torrential rain,cyclone,pro-science,gb,Middle,False
23481,ABC News,Horrors emerge from Hamas infiltration of Israel on Gaza border,cyclone,left-center,us,Middle,False
24776,Boing Boing,Albatrosses listen to the sea to navigate the sky,cyclone,left,us,Strong Left,False
27246,Time,"On AmeriCorps’ Thirtieth Anniversary, Congress Considers Gutting National Service",cyclone,left-center,us,Skews Left,False
30146,Android Central,These are the power banks I'm hoping to buy this Black Friday,cyclone,,gb,,False
32731,Business Insider,"James Webb Space Telescope discovers Jupiter has a jet stream whipping around the planet at 320 mph, twice as fast as Earth's fiercest hurricanes",cyclone,left-center,us,Middle,False
32897,Digital Trends,Researchers discover a 320-mph jet stream around Jupiter’s equator,cyclone,,us,Middle,False
33326,Deadline,‘In Restless Dreams’ Director Alex Gibney On Paul Simon’s Extraordinary Music: “It Gets In Your Lungs And Suddenly You’re Breathing It”,cyclone,left-center,us,Middle,False
39423,BBC News,Band walks 870 miles to complete Wales tour,cyclone,left-center,gb,Middle,False
50557,The Punch,"Remo, Sporting clash in southwest derby",cyclone,left-center,ng,,False
50597,The Punch,"DSS officers slapped, threatened to kill me for defending client – Lawyer",cyclone,left-center,ng,,False
51109,The Indian Express,Depression over Bay of Bengal likely to become low-intensity cyclone,cyclone,left-center,in,Middle,False
53396,CNN,How Tropical Storm Philippe could muck up weather in the Northeast this weekend,cyclone,left-center,us,Skews Left,False
53408,CNN,"Tropical Storm Philippe will deliver another wet, miserable weekend to the Northeast",cyclone,left-center,us,Skews Left,False
53464,CNN,Tropical Storm Philippe will combine with a potent cold front to soak the Northeast this weekend,cyclone,left-center,us,Skews Left,False
53566,CNN,"Rest of hurricane season in 'uncharted waters' because of El Niño, record ocean temperatures",cyclone,left-center,us,Skews Left,False
53569,ABC News,Former Tropical Storm Philippe's remnants headed to waterlogged New England and Atlantic Canada,cyclone,left-center,us,Middle,False
53721,International Business Times,100 Most Beautiful Female K-Pop Idols Of 2023,cyclone,left-center,us,Middle,False
58348,ABC News,"Lidia dissipates after killing 1, injuring 2 near Mexico resort, Atlantic sees Tropical Storm Sean",cyclone,left-center,us,Middle,False
60879,Time,"Powerful Storm Hits Northern Europe, Killing at Least 4 People",cyclone,left-center,us,Skews Left,False
60907,NPR,"Gale-force winds and floods strike northern Europe, killing at least 3 in the U.K.",cyclone,left-center,us,Middle,False
66292,BBC News,Warnings increased as Storm Babet batters England,cyclone,left-center,gb,Middle,False
68168,Phys.Org,"Researchers identify largest ever solar storm in ancient 14,300-year-old tree rings",cyclone,pro-science,gb,Middle,False
72672,Globalsecurity.org,Iran to hold naval drills in Indian Ocean: Commander,cyclone,least biased,us,,False
73480,Business Insider,"One-third of the world's captive orcas are in the US, and no one can agree on what to do with them",cyclone,left-center,us,Middle,False
78435,International Business Times,Libya Flood Relief Hampered By 'Turf Wars' And Division,cyclone,left-center,us,Middle,False
78436,International Business Times,'Broken In Two': Libya Flood Survivors Grapple With Mental Health,cyclone,left-center,us,Middle,False
78605,BBC News,Libya floods: The flawed response that increased Derna death toll,cyclone,left-center,gb,Middle,False
78693,The Times of India,'Broken in two': Libya flood survivors grapple with mental health,cyclone,right-center,in,Middle,False
115739,BBC News,Storm Ciarán: Floods ravage Tuscany leaving three dead,cyclone,left-center,gb,Middle,False
116256,BBC News,Jersey: Battered island deals with aftermath of Storm Ciarán,cyclone,left-center,gb,Middle,False
116288,BBC News,No targeted mental health support for flood-hit farmers,cyclone,left-center,gb,Middle,False
116497,BBC News,Lincolnshire fireworks and bonfires cancelled due to weather,cyclone,left-center,gb,Middle,False
125278,The Times of India,"We are headed to 19,700-20,000 by Diwali; 4 sectors to drive market higher: Sanjiv Bhasin",cyclone,right-center,in,Middle,False
133697,The Times of India,"Three people dead, several missing after heavy rains, flooding in Tuscany",cyclone,right-center,in,Middle,False
135096,Phys.Org,"Storms kill three, displace thousands in southern South America",cyclone,pro-science,gb,Middle,False
135445,BBC News,Devon and Cornwall forecast brings new flooding fears,cyclone,left-center,gb,Middle,False
135454,Forbes,Why School Location Can Expose Certain Kids To More Air Pollution,cyclone,right-center,us,Middle,False
136947,The Punch,Meet Nigeria’s most talked about pet influencer OGA DUKE,cyclone,left-center,ng,,False
146242,Forbes,NASA’s Hubble Drops Image Of Jupiter In Ultraviolet—What It Means,cyclone,right-center,us,Middle,False
159144,Forbes,"Aurora Possible In Northern U.S. On Sunday, Say Experts",cyclone,right-center,us,Middle,False
164766,ETF Daily News,"Versor Investments LP Purchases Shares of 3,000 RenaissanceRe Holdings Ltd. (NYSE:RNR)",cyclone,,us,,False
164805,ETF Daily News,Royce & Associates LP Has $30.96 Million Stock Holdings in RenaissanceRe Holdings Ltd. (NYSE:RNR),cyclone,,us,,False
167820,BBC News,Spirit of Discovery cruise ship back in UK after 100 passengers hurt in storm,cyclone,left-center,gb,Middle,False
177869,BBC News,Jersey tornado confirmed as strongest on record,cyclone,left-center,gb,Middle,False
181146,Forbes,"Updated 2025 Ram 1500 Lineup Adds ""Don't Call It A Hybrid"" Ramcharger",cyclone,right-center,us,Middle,False
228996,Forbes,Aurora Could Glow Over U.S. This Weekend After Earth-Strike Zone Event,cyclone,right-center,us,Middle,False
229053,Forbes,18M Properties And $8T At Extreme Risk And How It’s Changing Housing,cyclone,right-center,us,Middle,False
242544,NPR,Pakistan is planting lots of mangrove forests. So why are some upset?,cyclone,left-center,us,Middle,False
284414,Forbes,Holiday Gift Guide 2023: The Best Stocking Stuffers For Business Travelers,cyclone,right-center,us,Middle,False
293939,BBC News,Storm Debi: Warning not to travel as warnings in place,cyclone,left-center,gb,Middle,False
292174,BBC News,Storm Debi: Wales weather warning for 80mph wind gusts,cyclone,left-center,gb,Middle,False
292975,Business Insider,"Drug-abusing Russian soldiers get sent to fight with Storm Z assault forces as punishment, intel says, putting them on the front lines with convicts",cyclone,left-center,us,Middle,False
293622,BBC News,Storm Debi yellow rain warning comes into force in parts of Scotland,cyclone,left-center,gb,Middle,False
293911,CNN,Taylor Swift concert postponement prompts airline to waive change fee | CNN,cyclone,left-center,us,Skews Left,False
294074,Time,How to Get Ahead of Travel Nightmares This Holiday Season,cyclone,left-center,us,Skews Left,False
305364,The Verge,Amazon’s latest Fire TV Stick 4K Max is on sale for a new low price,cyclone,left-center,us,Middle,False
305902,NPR,Colorado banned forced prison labor 5 years ago. Prisoners say it's still happening,cyclone,left-center,us,Middle,False
81860,Globalsecurity.org,Malawi Begins Free Food Distribution to Hunger-Stricken Citizens,cyclone,least biased,us,,False
82458,BBC News,Hurricane Otis: Mexico troops tackle looting in devastated Acapulco,cyclone,left-center,gb,Middle,False
82497,BBC News,Mexico braces for 'extremely dangerous' Hurricane Otis,cyclone,left-center,gb,Middle,False
82499,BBC News,Mexico storm: Dozens still missing after Hurricane Otis hit,cyclone,left-center,gb,Middle,False
82521,ABC News,Hurricane Otis makes landfall in Mexico as Category 5 storm,cyclone,left-center,us,Middle,False
82523,BBC News,Hurricane Otis: Mexico assesses damage after storm,cyclone,left-center,gb,Middle,False
82526,Time,"At Least 27 Dead After Destructive Hurricane Otis Hits Acapulco, Mexico",cyclone,left-center,us,Skews Left,False
82575,ABC News,Tropical Storm Norma could become Category 3 hurricane before hitting Mexican resorts,cyclone,left-center,us,Middle,False
82579,Phys.Org,Hurricane Lidia strengthens on course for Mexico,cyclone,pro-science,gb,Middle,False
82622,Phys.Org,"Vast destruction, 39 dead in Mexico after Acapulco hurricane",cyclone,pro-science,gb,Middle,False
82596,ABC News,Large waves pound the northern Caribbean as Hurricane Tammy spins into open waters,cyclone,left-center,us,Middle,False
82597,ABC News,Hurricane Lidia takes aim at Mexico's Puerto Vallarta resort with strengthening winds,cyclone,left-center,us,Middle,False
82598,ABC News,Desperate Acapulco residents demand government aid days after Hurricane Otis,cyclone,left-center,us,Middle,False
82603,Phys.Org,Hurricane Norma strengthens to Category 3 ahead of Mexico landfall,cyclone,pro-science,gb,Middle,False
82621,Phys.Org,Hurricane Norma downgraded to Category 2 ahead of Mexico landfall,cyclone,pro-science,gb,Middle,False
82624,Phys.Org,"Vast destruction, 43 dead in Mexico after Acapulco hurricane",cyclone,pro-science,gb,Middle,False
82697,Al Jazeera English,At least 27 dead after Hurricane Otis hits Mexico’s Acapulco,cyclone,left-center,us,Skews Left,False
82764,ABC News,"Hurricane Norma takes aim at Mexico's Los Cabos resorts, as Tammy threatens islands in the Atlantic",cyclone,left-center,us,Middle,False
82789,Deadline,Eugenio Derbez & ‘Acapulco’ Producers Send Donation & Messages Of Support Following Hurricane Otis Devastation In Mexico,cyclone,left-center,us,Middle,False
82848,Forbes,The Hurricane Otis Forecast Bust And An Important Lesson,cyclone,right-center,us,Middle,False
